DFO Administrative Area,Species,Stock Management Unit Name,Full Stock Management Unit Index,SMU Life History Type,Conservation Unit Name,Full Conservation Unit Index,CU Life History Type,Conservation Unit Type
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,LOWER FRASER RIVER-UPPER PITT_SU_1.3,CK-05,,Current
FRASER AND INTERIOR,Chinook,,,,FRASER-HARRISON FALL TRANSPLANT_FA_0.3,CK-9008,,Bin
FRASER AND INTERIOR,Chinook,,,,FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION,CK-9006,,Bin
FRASER AND INTERIOR,Chinook,,,,FRASER-MISCELLANEOUS,CK-9004,,d
FRASER AND INTERIOR,Chinook,,,,BOUNDARY BAY_FA_0.3,CK-02,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,NORTH THOMPSON_SP_1.3,CK-18,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,UPPER FRASER RIVER_SP_1.3,CK-12,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,MIDDLE FRASER RIVER_SP_1.3,CK-10,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,MIDDLE FRASER-FRASER CANYON_SP_1.3,CK-08,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,LOWER FRASER RIVER_SP_1.3,CK-04,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,,LOWER THOMPSON_SP_1.2,CK-17,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,,SOUTH THOMPSON-BESSETTE CREEK_SU_1.2,CK-16,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,UPPER ADAMS RIVER_SU_1.x,CK-82,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,SHUSWAP RIVER_SU_0.3,CK-15,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,SOUTH THOMPSON_SU_0.3,CK-13,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,MARIA SLOUGH_SU_0.3,CK-07,,Current
FRASER AND INTERIOR,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,,HATCHERY EXCLUSION-LOWER FRASER RIVER,CK-9000,,Deprecated(Bin)
FRASER AND INTERIOR,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,,LOWER FRASER RIVER_FA_0.3,CK-03,,Current
FRASER AND INTERIOR,Chinook,OKANAGAN CHINOOK SALMON,CK-FIA-01,,OKANAGAN_0.x,CK-01,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,NORTH THOMPSON_SU_1.3,CK-19,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,SOUTH THOMPSON_SU_1.3,CK-14,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,MIDDLE FRASER RIVER_SU_1.3,CK-11,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,MIDDLE FRASER RIVER-PORTAGE_FA_1.3,CK-09,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,LOWER FRASER RIVER_SU_1.3,CK-06,,Current
FRASER AND INTERIOR,Chum,FRASER CHUM SALMON,CM-FIA-01,,FRASER CANYON,CM-01,,VREQ[Current]
FRASER AND INTERIOR,Chum,,,,INTERIOR FRASER,CM-9004,,Bin
FRASER AND INTERIOR,Chum,FRASER CHUM SALMON,CM-FIA-01,,LOWER FRASER,CM-02,,Current
FRASER AND INTERIOR,Coho,LOWER FRASER COHO SALMON,CO-FIA-02,,LILLOOET,CO-04,,Current
FRASER AND INTERIOR,Coho,,,,MIDDLE FRASER,CO-06,,Deprecated
FRASER AND INTERIOR,Coho,,,,LOWER FRASER-B,CO-03,,Deprecated
FRASER AND INTERIOR,Coho,,,,LOWER FRASER-A,CO-02,,Deprecated
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,INTERIOR FRASER,CO-48,,Current
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,NORTH THOMPSON,CO-09,,Current
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,SOUTH THOMPSON,CO-08,,Current
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,LOWER THOMPSON,CO-07,,Current
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,FRASER CANYON,CO-05,,Current
FRASER AND INTERIOR,Coho,LOWER FRASER COHO SALMON,CO-FIA-02,,LOWER FRASER,CO-47,,Current
FRASER AND INTERIOR,Pink,FRASER PINK SALMON - ODD,PKO-FIA-01,Odd Year,FRASER RIVER,PKO-01,Odd Year,Current
FRASER AND INTERIOR,Pink,,,,FRASER RIVER,PKE-9005,Even Year,Bin
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,CHILLIWACK-EARLY SUMMER TIMING,SEL-03-01,Lake Type,Current
FRASER AND INTERIOR,Sockeye,,,,NICOLA,SEL-08-01,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,HANSARD,SEL-07-03,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,STONY/ROND,SEL-06-27,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,NARROW,SEL-06-26,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,EAGLET,SEL-06-25,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,AHBAU,SEL-06-24,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,SALMON,SEL-06-23,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,TUMUCH/SLIM,SEL-06-22,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,UPPER WHITE ROAD COMPLEX,SEL-06-21,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,FRASER RIVER MIGRATORY COUNTS,SEL-03-XX,Lake Type,Bin
FRASER AND INTERIOR,Sockeye,,,,ALOUETTE_EARLY SUMMER,SEL-03-07,Lake Type,Extirpated
FRASER AND INTERIOR,Sockeye,,,,UPPER FRASER,SER-06,River Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,MIDDLE FRASER,SER-05,River Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,(X)NORTH BARRIERE-EARLY SUMMER TIMING,SEL-10-02,Lake Type,Extirpated
FRASER AND INTERIOR,Sockeye,,,,ADAMS AND MOMICH LAKES-EARLY SUMMER TIMING,SEL-09-xx,Lake Type,Bin
FRASER AND INTERIOR,Sockeye,,,,MOMICH-EARLY SUMMER TIMING,SEL-09-05,Lake Type,Extirpated
FRASER AND INTERIOR,Sockeye,,,,ADAMS-EARLY SUMMER TIMING,SEL-09-04,Lake Type,Extirpated
FRASER AND INTERIOR,Sockeye,,,,SETON-SUMMER TIMING,SEL-06-19,Lake Type,Extirpated
FRASER AND INTERIOR,Sockeye,,,,CARIBOO-SUMMER TIMING,SEL-06-18,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,,,,KAMLOOPS-LATE TIMING,SEL-09-01,Lake Type,Deprecated
FRASER AND INTERIOR,Sockeye,,,,TAKLA/TREMBLEUR-SUMMER TIMING,SEL-06-15,Lake Type,Deprecated
FRASER AND INTERIOR,Sockeye,,,,NADINA-EARLY SUMMER TIMING,SEL-06-09,Lake Type,Deprecated
FRASER AND INTERIOR,Sockeye,,,,MCKINLEY-SUMMER TIMING,SEL-06-08,Lake Type,Deprecated
FRASER AND INTERIOR,Sockeye,,,,FRASER-EARLY SUMMER TIMING,SEL-06-06,Lake Type,Extirpated
FRASER AND INTERIOR,Sockeye,,,,FRANCOIS-LATE TIMING,SEL-06-05,Lake Type,VREQ[Extirpated]
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,HARRISON RIVER,SER-03,River Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,WIDGEON,SER-02,River Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,TAKLA/TREMBLEUR/STUART-SUMMER TIMING,SEL-06-13,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,FRANCOIS/FRASER-SUMMER TIMING,SEL-06-07,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,KAMLOOPS-EARLY SUMMER TIMING,SEL-10-01,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,QUESNEL-SUMMER TIMING,SEL-06-10,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Lake Type; River Type,CHILKO-SUMMER TIMING,SEL-06-03,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY STUART,SEL-FIA-14,Lake Type,TAKLA/TREMBLEUR-EARLY STUART TIMING,SEL-06-14,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,SHUSWAP COMPLEX-LATE TIMING,SEL-09-03,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,SETON-LATE TIMING,SEL-06-11,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,HARRISON-UPSTREAM MIGRATING-LATE TIMING,SEL-03-04,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Lake Type,CULTUS-LATE TIMING,SEL-03-02,Lake Type,Current
FRASER AND INTERIOR,Sockeye,OKANAGAN SOCKEYE SALMON,SEL-FIA-01,Lake Type,OSOYOOS-SKAHA-OKANAGAN,SEL-01-01,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,NORTH BARRIERE-EARLY SUMMER TIMING,SEL-10-03,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,NADINA/FRANCOIS-EARLY SUMMER TIMING,SEL-06-20,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,SHUSWAP COMPLEX-EARLY SUMMER TIMING,SEL-09-02,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,INDIAN/KRUGER-EARLY SUMMER TIMING,SEL-07-02,Lake Type,VREQ[Bin]
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,BOWRON-EARLY SUMMER TIMING,SEL-07-01,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,TASEKO-EARLY SUMMER TIMING,SEL-06-16,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,FRANCOIS-EARLY SUMMER TIMING,SEL-06-04,Lake Type,VREQ[Extirpated]
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,CHILKO-EARLY SUMMER TIMING,SEL-06-02,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,ANDERSON/SETON-EARLY SUMMER TIMING,SEL-06-01,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,NAHATLATCH-EARLY SUMMER TIMING,SEL-05-02,Lake Type,Current
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,PITT-EARLY SUMMER TIMING,SEL-03-05,Lake Type,Current
NORTH COAST,Chinook,NASS CHINOOK SALMON,CK-NC-58,,UPPER NASS,CK-58,,Current
NORTH COAST,Chinook,,,,HATCHERY EXCLUSION-PALLANT CREEK,CK-9002,,Bin
NORTH COAST,Chinook,,,,MIDDLE SKEENA,CK-52,,Deprecated
NORTH COAST,Chinook,,,,GITNADOIX,CK-47,,Deprecated
NORTH COAST,Chinook,HAIDA GWAII CHINOOK SALMON,CK-NC-04,,HAIDA GWAII-EAST,CK-44,,Current
NORTH COAST,Chinook,HAIDA GWAII CHINOOK SALMON,CK-NC-04,,HAIDA GWAII-NORTH,CK-43,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,UPPER SKEENA,CK-56,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,UPPER BULKLEY RIVER,CK-55,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,MIDDLE SKEENA-LARGE LAKES,CK-53,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,LAKELSE,CK-51,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,KALUM-LATE TIMING,CK-50,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,KALUM-EARLY TIMING,CK-49,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,ECSTALL,CK-46,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,SKEENA ESTUARY,CK-45,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,SICINTINE,CK-81,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,ZYMOETZ,CK-80,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,MIDDLE SKEENA-MAINSTEM TRIBUTARIES,CK-54,,Current
NORTH COAST,Chinook,SKEENA CHINOOK SALMON,CK-NC-03,,LOWER SKEENA,CK-48,,Current
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,PORTLAND SOUND-OBSERVATORY INLET-LOWER NASS,CK-57,,Current
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,NORTH AND CENTRAL COAST-EARLY TIMING,CK-42,,Current
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,NORTH AND CENTRAL COAST-LATE TIMING,CK-41,,Current
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,DEAN RIVER,CK-40,,Current
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,BELLA COOLA-BENTINCK,CK-39,,Current
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,WANNOCK,CK-38,,Current
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,RIVERS INLET,CK-37,,Current
NORTH COAST,Chinook,CENTRAL COAST CHINOOK SALMON,CK-NC-02,,DOCEE,CK-36,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,SMITH INLET,CM-12,,Current
NORTH COAST,Chum,,,,LOWER STIKINE,CM-34,,Current
NORTH COAST,Chum,SKEENA CHUM SALMON,CM-NC-04,,MIDDLE SKEENA,CM-28,,Current
NORTH COAST,Chum,SKEENA CHUM SALMON,CM-NC-04,,LOWER SKEENA,CM-27,,Current
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,NORTH HAIDA GWAII-STANLEY CREEK,CM-25,,Current
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,NORTH HAIDA GWAII,CM-24,,Current
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,WEST HAIDA GWAII,CM-23,,Current
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,SKIDEGATE,CM-22,,Current
NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,CM-NC-02,,EAST HG,CM-21,,Current
NORTH COAST,Chum,NASS CHUM SALMON,CM-NC-31,,LOWER NASS,CM-31,,Current
NORTH COAST,Chum,SKEENA - NASS CHUM COASTAL,CM-NC-05,,PORTLAND CANAL-OBSERVATORY,CM-32,,Current
NORTH COAST,Chum,SKEENA - NASS CHUM COASTAL,CM-NC-05,,PORTLAND INLET,CM-30,,Current
NORTH COAST,Chum,SKEENA - NASS CHUM COASTAL,CM-NC-05,,SKEENA ESTUARY,CM-26,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,DOUGLAS-GARDNER,CM-20,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,MUSSEL-KYNOCH,CM-19,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,HECATE LOWLANDS,CM-18,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,BELLA COOLA RIVER-LATE,CM-17,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,BELLA COOLA-DEAN RIVERS,CM-16,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,SPILLER-FITZ HUGH-BURKE,CM-15,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,WANNOCK,CM-14,,Current
NORTH COAST,Chum,CENTRAL COAST CHUM SALMON,CM-NC-01,,RIVERS INLET,CM-13,,Current
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,SMITH INLET,CO-20,,Current
NORTH COAST,Coho,SKEENA COHO SALMON,CO-NC-04,,UPPER SKEENA,CO-34,,Current
NORTH COAST,Coho,SKEENA COHO SALMON,CO-NC-04,,MIDDLE SKEENA,CO-33,,Current
NORTH COAST,Coho,SKEENA COHO SALMON,CO-NC-04,,LOWER SKEENA,CO-32,,Current
NORTH COAST,Coho,SKEENA COHO SALMON,CO-NC-04,,SKEENA ESTUARY,CO-31,,Current
NORTH COAST,Coho,NASS COHO SALMON,CO-NC-03,,PORTLAND SOUND-OBSERVATORY INLET-PORTLAND CANAL,CO-37,,Current
NORTH COAST,Coho,NASS COHO SALMON,CO-NC-03,,UPPER NASS,CO-36,,Current
NORTH COAST,Coho,NASS COHO SALMON,CO-NC-03,,LOWER NASS,CO-35,,Current
NORTH COAST,Coho,HAIDA GWAII COHO SALMON,CO-NC-02,,HG-GRAHAM ISLAND LOWLANDS,CO-25,,Current
NORTH COAST,Coho,HAIDA GWAII COHO SALMON,CO-NC-02,,HG-WEST,CO-24,,Current
NORTH COAST,Coho,HAIDA GWAII COHO SALMON,CO-NC-02,,HG-EAST,CO-23,,Current
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,NORTHERN COASTAL STREAMS,CO-30,,Current
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,DOUGLAS CHANNEL-KITIMAT ARM,CO-29,,Current
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,BRIM-WAHOO,CO-28,,Deprecated
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,HECATE STRAIT MAINLAND,CO-27,,Current
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,MUSSEL-KYNOCH,CO-26,,Current
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,BELLA COOLA-DEAN RIVERS,CO-22,,Current
NORTH COAST,Coho,CENTRAL COAST COHO SALMON,CO-NC-01,,RIVERS INLET,CO-21,,Current
NORTH COAST,Pink,SKEENA PINK SALMON,PK-NC-03,Even Year; Odd Year,LOWER SKEENA,PKO-15,Odd Year,Current
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,UPPER NASS,PKE-12,Even Year,Current
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,NASS-SKEENA ESTUARY,PKE-07,Even Year,Current
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,UPPER NASS,PKO-18,Odd Year,Current
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,NASS-PORTLAND-OBSERVATORY,PKO-17,Odd Year,Current
NORTH COAST,Pink,NASS PINK SALMON,PK-NC-04,Even Year; Odd Year,NASS-SKEENA ESTUARY,PKO-14,Odd Year,Current
