DFO Administrative Area,Species,Stock Management Unit Name,Full Stock Management Unit Index,SMU Life History Type,Conservation Unit Name,Full Conservation Unit Index,CU Life History Type,Conservation Unit Type
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,SKIDEGATE,SEL-17-08,Lake Type,Current
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,MERCER,SEL-17-07,Lake Type,Current
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,MATHERS,SEL-17-06,Lake Type,Current
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,MARIAN,SEL-17-05,Lake Type,VREQ[Bin]
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,JALUN,SEL-17-04,Lake Type,Current
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,FAIRFAX,SEL-17-03,Lake Type,Current
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,AWUN,SEL-17-02,Lake Type,Current
NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,SEL-NC-01,Lake Type,AIN/SKUNDALE/IAN,SEL-17-01,Lake Type,Current
SOUTH COAST,Chinook,MAINLAND INLET CHINOOK SALMON,CK-SC-04,,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,,Current
SOUTH COAST,Chinook,,,,SOUTHERN BC-CROSS-CU SUPPLEMENTATION EXCLUSION,CK-9007,,Bin
SOUTH COAST,Chinook,,,,SOUTH-MISCELLANEOUS,CK-9005,,Bin
SOUTH COAST,Chinook,,,,HATCHERY EXCLUSION-BARKLEY SOUND,CK-9001,,Deprecated(Bin)
SOUTH COAST,Chinook,,,,PORT SAN JUAN,CK-30,,Deprecated
SOUTH COAST,Chinook,,,,EAST VANCOUVER ISLAND-PUNTLEDGE-SUMMER TIMING,CK-26,,Deprecated
SOUTH COAST,Chinook,,,,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS SUMMER TIMING,CK-24,,Deprecated
SOUTH COAST,Chinook,WCVI CHINOOK SALMON,CK-SC-05,,WEST VANCOUVER ISLAND-NORTH_FA_0.x,CK-33,,Current
SOUTH COAST,Chinook,WCVI CHINOOK SALMON,CK-SC-05,,WEST VANCOUVER ISLAND-NOOTKA AND KYUQUOT_FA_0.x,CK-32,,Current
SOUTH COAST,Chinook,WCVI CHINOOK SALMON,CK-SC-05,,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,CK-31,,Current
SOUTH COAST,Chinook,LOWER GEORGIA STRAIT CHINOOK SALMON,CK-SC-01,,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x,CK-25,,Current
SOUTH COAST,Chinook,LOWER GEORGIA STRAIT CHINOOK SALMON,CK-SC-01,,EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x,CK-22,,Current
SOUTH COAST,Chinook,LOWER GEORGIA STRAIT CHINOOK SALMON,CK-SC-01,,EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x,CK-21,,Current
SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT CHINOOK SALMON,CK-SC-02,,EAST VANCOUVER ISLAND-GEORGIA STRAIT_SU_0.3,CK-83,,Current
SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT CHINOOK SALMON,CK-SC-02,,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,,Current
SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT CHINOOK SALMON,CK-SC-02,,SOUTHERN MAINLAND-GEORGIA STRAIT_FA_0.x,CK-20,,Current
SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT CHINOOK SALMON,CK-SC-02,,EAST VANCOUVER ISLAND-NANAIMO_SP_1.x,CK-23,,Deprecated
SOUTH COAST,Chinook,UPPER GEORGIA STRAIT CHINOOK SALMON,CK-SC-29,,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,,Current
SOUTH COAST,Chinook,MAINLAND INLET CHINOOK SALMON,CK-SC-04,,HOMATHKO_SU_x.x,CK-34,,Current
SOUTH COAST,Chinook,MAINLAND INLET CHINOOK SALMON,CK-SC-04,,KLINAKLINI_SU_1.3,CK-35,,Current
SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,CM-SC-01,,HOWE SOUND-BURRARD INLET,CM-03,,Current
SOUTH COAST,Chum,WCVI CHUM SALMON,CM-SC-02,,NORTHWEST VANCOUVER ISLAND,CM-11,,Current
SOUTH COAST,Chum,WCVI CHUM SALMON,CM-SC-02,,SOUTHWEST VANCOUVER ISLAND,CM-10,,Current
SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,CM-SC-01,,UPPER KNIGHT,CM-09,,Current
SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,CM-SC-01,,SOUTHERN COASTAL STREAMS,CM-08,,Current
SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,CM-SC-01,,BUTE INLET,CM-07,,Current
SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,CM-SC-01,,LOUGHBOROUGH,CM-06,,Current
SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,CM-SC-01,,NORTHEAST VANCOUVER ISLAND,CM-05,,Current
SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,CM-SC-01,,GEORGIA STRAIT,CM-04,,Current
SOUTH COAST,Coho,WCVI COHO SALMON,CO-SC-02,,JUAN DE FUCA-PACHENA,CO-16,,Current
SOUTH COAST,Coho,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,CO-SC-03,,HOMATHKO-KLINAKLINI RIVERS,CO-19,,Current
SOUTH COAST,Coho,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,CO-SC-03,,NAHWITTI LOWLAND,CO-15,,Current
SOUTH COAST,Coho,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,CO-SC-03,,EAST VANCOUVER ISLAND-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO-14,,Current
SOUTH COAST,Coho,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,CO-SC-03,,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO-12,,Current
SOUTH COAST,Coho,STRAIT OF GEORGIA COHO SALMON,CO-SC-01,,EAST VANCOUVER ISLAND-GEORGIA STRAIT,CO-13,,Current
SOUTH COAST,Coho,STRAIT OF GEORGIA COHO SALMON,CO-SC-01,,GEORGIA STRAIT MAINLAND,CO-11,,Current
SOUTH COAST,Coho,STRAIT OF GEORGIA COHO SALMON,CO-SC-01,,HOWE SOUND-BURRARD INLET,CO-10,,Current
SOUTH COAST,Coho,STRAIT OF GEORGIA COHO SALMON,CO-SC-01,,BOUNDARY BAY,CO-01,,VREQ[Current]
SOUTH COAST,Coho,WCVI COHO SALMON,CO-SC-02,,CLAYOQUOT,CO-18,,Current
SOUTH COAST,Coho,WCVI COHO SALMON,CO-SC-02,,WEST VANCOUVER ISLAND,CO-17,,Current
SOUTH COAST,Pink,ECVI/MAINLAND PINK SALMON - EVEN,PKE-SC-01,Even Year,GEORGIA STRAIT,PKE-01,Even Year,Current
SOUTH COAST,Pink,,,,EAST HOWE SOUND-BURRARD INLET,PKO-02,Odd Year,Current
SOUTH COAST,Pink,WCVI PINK SALMON,PK-SC-02,Even Year; Odd Year,NORTHWEST VANCOUVER ISLAND,PKE-03,Even Year,Current
SOUTH COAST,Pink,WCVI PINK SALMON,PK-SC-02,Even Year; Odd Year,WEST VANCOUVER ISLAND,PKE-02,Even Year,Current
SOUTH COAST,Pink,WCVI PINK SALMON,PK-SC-02,Even Year; Odd Year,WEST VANCOUVER ISLAND,PKO-06,Odd Year,Current
SOUTH COAST,Pink,ECVI/MAINLAND PINK SALMON - ODD,PKO-SC-01,Odd Year,SOUTHERN FJORDS,PKO-07,Odd Year,Current
SOUTH COAST,Pink,ECVI/MAINLAND PINK SALMON - ODD,PKO-SC-01,Odd Year,NAHWITTI,PKO-05,Odd Year,Current
SOUTH COAST,Pink,ECVI/MAINLAND PINK SALMON - ODD,PKO-SC-01,Odd Year,EAST VANCOUVER ISLAND-JOHNSTONE STRAIT,PKO-04,Odd Year,Current
SOUTH COAST,Pink,ECVI/MAINLAND PINK SALMON - ODD,PKO-SC-01,Odd Year,GEORGIA STRAIT,PKO-03,Odd Year,Current
SOUTH COAST,Pink,ECVI/MAINLAND PINK SALMON - EVEN,PKE-SC-01,Even Year,SOUTHERN FJORDS,PKE-04,Even Year,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,ALICE,SEL-13-01,Lake Type,Current
SOUTH COAST,Sockeye,,,,GREAT CENTRAL/SPROAT,SEL-13-XX,Lake Type,Bin
SOUTH COAST,Sockeye,,,,NW VANCOUVER ISLAND,SER-11,River Type,Current
SOUTH COAST,Sockeye,,,,WEST VANCOUVER ISLAND,SER-10,River Type,Current
SOUTH COAST,Sockeye,,,,SOUTHERN FJORDS,SER-09,River Type,Current
SOUTH COAST,Sockeye,,,,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SER-08,River Type,Current
SOUTH COAST,Sockeye,,,,LOIS,SEL-11-13,Lake Type,VREQ[Bin]
SOUTH COAST,Sockeye,,,,GLENDALE,SEL-11-12,Lake Type,VREQ[Bin]
SOUTH COAST,Sockeye,WCVI - BARKLEY SOCKEYE SALMON,SEL-SC-03,Lake Type,SPROAT,SEL-13-25,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - BARKLEY SOCKEYE SALMON,SEL-SC-03,Lake Type,HENDERSON,SEL-13-09,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - BARKLEY SOCKEYE SALMON,SEL-SC-03,Lake Type,GREAT CENTRAL,SEL-13-08,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,VERNON,SEL-12-09,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,PACK,SEL-11-11,Lake Type,VREQ[Bin]
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,WOSS,SEL-12-08,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,SHUSHARTIE,SEL-12-07,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,SCHOEN,SEL-12-06,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,QUATSE,SEL-12-05,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,NIMPKISH,SEL-12-03,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,NAHWITTI,SEL-12-02,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,IDA/BONANZA,SEL-12-01,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,VILLAGE BAY,SEL-11-10,Lake Type,VREQ[Extirpated]
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,TZOONIE,SEL-11-09,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,SAKINAW,SEL-11-07,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,PHILLIPS,SEL-11-06,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,MACKENZIE,SEL-11-05,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,LOOSE,SEL-11-04,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,KAKWEIKEN,SEL-11-03,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,HEYDON,SEL-11-02,Lake Type,Current
SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON,SEL-SC-02,Lake Type,FULMORE,SEL-11-01,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,WILLIAM/BRINK,SEL-13-26,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,POWER,SEL-13-23,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,PARK RIVER,SEL-13-22,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,OWOSSITSA,SEL-13-21,Lake Type,VREQ[Bin]
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,O'CONNELL,SEL-13-20,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,NITINAT,SEL-13-19,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,MURIEL,SEL-13-18,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,MUCHALAT,SEL-13-17,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,MEGIN,SEL-13-16,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,MAGGIE,SEL-13-15,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,KENNEDY,SEL-13-14,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,KANIM,SEL-13-13,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,JANSEN,SEL-13-12,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,HOBITON,SEL-13-11,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,HESQUIAT,SEL-13-10,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,FAIRY,SEL-13-07,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,DESERTED,SEL-13-06,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,CLAYOQUOT,SEL-13-05,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,CHEEWAT,SEL-13-04,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,CECILIA,SEL-13-03,Lake Type,Current
SOUTH COAST,Sockeye,WCVI - OTHER SOCKEYE SALMON,SEL-SC-01,Lake Type,CANOE CREEK,SEL-13-02,Lake Type,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,UPPER YUKON RIVER,CK-69,,Current
YUKON TRANSBOUNDARY,Chinook,,,,LYNN CANAL,CK-66,,Current
YUKON TRANSBOUNDARY,Chinook,,,,WHITING,CK-62,,Current
YUKON TRANSBOUNDARY,Chinook,,,,UNUK,CK-59,,Current
YUKON TRANSBOUNDARY,Chinook,PORCUPINE CHINOOK SALMON,CK-YTRA-03,,OLD CROW,CK-79,,Current
YUKON TRANSBOUNDARY,Chinook,PORCUPINE CHINOOK SALMON,CK-YTRA-03,,PORCUPINE,CK-78,,Current
YUKON TRANSBOUNDARY,Chinook,PORCUPINE CHINOOK SALMON,CK-YTRA-03,,SALMON FORK,CK-77,,Current
YUKON TRANSBOUNDARY,Chinook,ALSEK CHINOOK SALMON,CK-YTRA-67,,ALSEK,CK-67,,Current
YUKON TRANSBOUNDARY,Chinook,TAKU CHINOOK SALMON,CK-YTRA-05,,TAKU-LATE TIMING,CK-65,,Current
YUKON TRANSBOUNDARY,Chinook,TAKU CHINOOK SALMON,CK-YTRA-05,,TAKU-MID TIMING,CK-64,,Current
YUKON TRANSBOUNDARY,Chinook,TAKU CHINOOK SALMON,CK-YTRA-05,,TAKU-EARLY TIMING,CK-63,,Current
YUKON TRANSBOUNDARY,Chinook,STIKINE CHINOOK SALMON,CK-YTRA-04,,STIKINE-LATE TIMING,CK-61,,Current
YUKON TRANSBOUNDARY,Chinook,STIKINE CHINOOK SALMON,CK-YTRA-04,,STIKINE-EARLY TIMING,CK-60,,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,YUKON RIVER-TESLIN HEADWATERS,CK-68,,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,NORTHERN YUKON RIVER AND TRIBUTARIES,CK-76,,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,WHITE AND TRIBUTARIES,CK-75,,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,STEWART,CK-74,,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,MIDDLE YUKON RIVER AND TRIBUTARIES,CK-73,,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,PELLY,CK-72,,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,NORDENSKIOLD,CK-71,,Current
YUKON TRANSBOUNDARY,Chinook,YUKON CHINOOK SALMON,CK-YTRA-02,,BIG SALMON,CK-70,,Current
YUKON TRANSBOUNDARY,Chum,YUKON CHUM SALMON,CM-YTRA-01,,TESLIN,CM-38,,Current
YUKON TRANSBOUNDARY,Chum,,,,PEEL RIVER,CM-40,,Current
YUKON TRANSBOUNDARY,Chum,,,,LOWER LIARD,CM-39,,VREQ[Current]
YUKON TRANSBOUNDARY,Chum,,,,LYNN CANAL,CM-37,,Current
YUKON TRANSBOUNDARY,Chum,,,,WHITING,CM-35,,Current
YUKON TRANSBOUNDARY,Chum,,,,UNUK,CM-33,,Current
YUKON TRANSBOUNDARY,Chum,TRANSBOUNDARY CHUM SALMON,CM-YTRA-36,,TAKU,CM-36,,Current
YUKON TRANSBOUNDARY,Chum,PORCUPINE CHUM SALMON,CM-YTRA-02,,PORCUPINE RIVER,CM-46,,Current
YUKON TRANSBOUNDARY,Chum,YUKON CHUM SALMON,CM-YTRA-01,,MIDDLE YUKON RIVER,CM-42,,Current
YUKON TRANSBOUNDARY,Chum,YUKON CHUM SALMON,CM-YTRA-01,,NORTH YUKON RIVER,CM-43,,Current
YUKON TRANSBOUNDARY,Chum,YUKON CHUM SALMON,CM-YTRA-01,,WHITE RIVER,CM-44,,Current
YUKON TRANSBOUNDARY,Chum,YUKON CHUM SALMON,CM-YTRA-01,,DONJEK-KLUANE,CM-45,,Current
YUKON TRANSBOUNDARY,Chum,YUKON CHUM SALMON,CM-YTRA-01,,STEWART,CM-48,,VREQ[Current]
YUKON TRANSBOUNDARY,Coho,STIKINE COHO SALMON,CO-YTRA-39,,LOWER STIKINE,CO-39,,Current
YUKON TRANSBOUNDARY,Coho,,,,LYNN CANAL,CO-44,,Current
YUKON TRANSBOUNDARY,Coho,,,,WHITING RIVER,CO-40,,Current
YUKON TRANSBOUNDARY,Coho,,,,UNUK RIVER,CO-38,,Current
YUKON TRANSBOUNDARY,Coho,TAKU COHO SALMON,CO-YTRA-04,,TAKU-EARLY TIMING,CO-43,,Current
YUKON TRANSBOUNDARY,Coho,TAKU COHO SALMON,CO-YTRA-04,,TAKU-MID TIMING,CO-42,,Current
YUKON TRANSBOUNDARY,Coho,TAKU COHO SALMON,CO-YTRA-04,,TAKU-LATE TIMING,CO-41,,Current
YUKON TRANSBOUNDARY,Coho,PORCUPINE COHO SALMON,CO-YTRA-46,,PORCUPINE,CO-46,,Current
YUKON TRANSBOUNDARY,Coho,ALSEK COHO SALMON,CO-YTRA-45,,ALSEK RIVER,CO-45,,Current
YUKON TRANSBOUNDARY,Pink,TRANSBOUNDARY PINK SALMON,PK-YTRA-01,Even Year; Odd Year,TRANSBOUNDARY FJORDS,PKE-13,Even Year,Current
YUKON TRANSBOUNDARY,Pink,TRANSBOUNDARY PINK SALMON,PK-YTRA-01,Even Year; Odd Year,TRANSBOUNDARY FJORDS,PKO-19,Odd Year,Current
YUKON TRANSBOUNDARY,Sockeye,ALSEK SOCKEYE SALMON,SEL-YTRA-01,Lake Type,BLANCHARD,SEL-30-01,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,ALSEK SOCKEYE SALMON,SEL-YTRA-01,Lake Type,KLUKSHU,SEL-30-02,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,ALSEK SOCKEYE SALMON,SEL-YTRA-01,Lake Type,NESKETAHIN,SEL-30-03,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,TAKU SOCKEYE SALMON,SEL-YTRA-03,Lake Type,KING SALMON,SEL-28-05,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,TAKU SOCKEYE SALMON,SEL-YTRA-03,Lake Type,KUTHAI,SEL-28-01,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,TAKU SOCKEYE SALMON,SEL-YTRA-03,Lake Type,LITTLE TRAPPER,SEL-28-02,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,TAKU SOCKEYE SALMON,SEL-YTRA-03,Lake Type,TATSAMENIE,SEL-28-03,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,STIKINE SOCKEYE SALMON,SEL-YTRA-02,Lake Type,CHUTINE,SEL-26-03,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,STIKINE SOCKEYE SALMON,SEL-YTRA-02,Lake Type,CHRISTINA,SEL-26-01,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,STIKINE SOCKEYE SALMON,SEL-YTRA-02,Lake Type,TAHLTAN,SEL-26-02,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,,,,WHITING,SEL-27-01,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,,,,BORDER,SEL-25-01,Lake Type,Current
YUKON TRANSBOUNDARY,Sockeye,,,,CHILKAT RIVER,SER-23,River Type,Current
YUKON TRANSBOUNDARY,Sockeye,,,,ALSEK RIVER,SER-24,River Type,Current
